phase,stimulus,correct_key,response,reaction_time,with_noise
training,circle,m,True,0.9714919999241829,False
training,circle,m,True,0.5009367999155074,False
training,circle,m,True,0.39998999994713813,False
training,square,z,True,0.3776598999975249,False
training,circle,m,True,0.3693028000416234,False
training,circle,m,True,0.26842440001200885,False
training,circle,m,True,0.2750934000359848,False
training,circle,m,True,0.2967317000729963,False
training,square,z,True,0.3654525000602007,False
training,circle,m,True,0.3151819999329746,False
testing,circle,m,True,0.42120750003959984,True
testing,square,z,True,0.31466010003350675,False
testing,square,z,True,0.30125120002776384,False
testing,square,z,True,0.2784216000000015,True
testing,circle,m,True,0.3440042999573052,True
testing,square,z,True,0.31317500001750886,True
testing,square,z,True,0.2935163000365719,True
testing,circle,m,True,0.32164899993222207,False
testing,circle,m,True,0.3128941999748349,True
testing,square,z,True,0.28711849998217076,True
testing,circle,m,True,0.2849918999709189,True
testing,circle,m,True,0.24299230007454753,False
testing,square,z,True,0.2717655999585986,False
testing,square,z,True,0.25597599998582155,False
testing,square,z,False,0.24529280001297593,False
testing,circle,m,True,0.2698932000203058,False
testing,square,z,True,0.31320999993477017,True
testing,square,z,True,0.28571140009444207,False
testing,square,z,True,0.23486089997459203,False
testing,square,z,True,0.22161200002301484,True
testing,circle,m,False,0.1996648000786081,True
testing,circle,m,True,0.35576290008611977,False
testing,square,z,True,0.33334339992143214,False
testing,circle,m,True,0.3270285000326112,True
testing,square,z,True,0.288272799924016,True
testing,circle,m,True,0.2931794999167323,False
testing,square,z,False,0.30015459994319826,True
testing,circle,m,True,0.26589240005705506,True
testing,square,z,True,0.2575790999690071,True
testing,square,z,False,0.3498600000748411,False
testing,square,z,True,0.40930209995713085,False
testing,square,z,True,0.28603159997146577,False
testing,square,z,True,0.23783060000278056,True
testing,circle,m,True,0.3337089999113232,False
testing,circle,m,True,0.3801936999661848,True
testing,square,z,True,0.29539460001979023,False
testing,circle,m,True,0.3757588000735268,False
testing,circle,m,True,0.3973198999883607,True
testing,circle,m,True,0.2960251000477001,True
testing,circle,m,True,0.267618199926801,False
testing,circle,m,True,0.3874960000393912,True
testing,circle,m,True,0.2666956000030041,True
testing,circle,m,True,0.2816420999588445,True
testing,circle,m,True,0.25012590002734214,True
testing,circle,m,True,0.24776489997748286,True
testing,circle,m,True,0.24938089994248003,True
testing,circle,m,True,0.36210979998577386,True
testing,square,z,True,0.3193876000586897,True
testing,square,z,True,0.3337732000509277,False
testing,circle,m,True,0.3461879000533372,False
testing,circle,m,True,0.2478459000121802,True
testing,square,z,True,0.3347411999711767,True
testing,square,z,True,0.3595468000276014,False
testing,circle,m,False,0.33299390005413443,True
testing,square,z,True,0.3715233999537304,False
testing,circle,m,True,0.2783059000503272,True
testing,square,z,False,0.2917874000268057,False
testing,square,z,True,0.4829467999516055,False
testing,circle,m,True,0.35137319995556027,True
testing,square,z,True,0.36995219998061657,True
testing,square,z,True,0.39794420008547604,True
testing,square,z,True,0.30164109996985644,False
testing,square,z,True,0.33184540004003793,False
testing,square,z,True,0.29688489995896816,False
testing,square,z,True,0.26948790007736534,True
testing,circle,m,True,0.3476606000913307,False
testing,square,z,True,0.3328305999748409,False
testing,square,z,True,0.2469632999273017,True
testing,square,z,True,0.24559059995226562,False
testing,square,z,True,0.2610900999279693,False
testing,square,z,True,0.2810934000881389,False
testing,square,z,True,0.3240810000570491,True
testing,square,z,True,0.2270845000166446,True
testing,circle,m,False,0.3077370000537485,True
testing,circle,m,True,0.4119090000167489,False
testing,circle,m,True,0.2592564000515267,True
testing,circle,m,True,0.3099901999812573,False
testing,circle,m,True,0.2512027999619022,True
testing,square,z,False,0.25383289996534586,True
testing,square,z,True,0.3168854999821633,True
