phase,stimulus,correct_key,response,reaction_time,with_noise
training,circle,m,True,1.170365900034085,False
training,square,z,True,0.7051758000161499,False
training,circle,m,True,0.5452674999833107,False
training,square,z,True,0.46656039997469634,False
training,square,z,True,0.40672540001105517,False
training,circle,m,True,0.33558229997288436,False
training,circle,m,True,0.48595330002717674,False
training,circle,m,True,0.3669721999904141,False
training,square,z,True,0.5365256000077352,False
training,square,z,True,0.6224947998998687,False
testing,circle,m,True,0.3819197000702843,False
testing,square,z,True,0.42599040002096444,False
testing,circle,m,True,0.38041150011122227,False
testing,square,z,True,0.46535259997472167,False
testing,circle,m,True,0.38847709994297475,False
testing,square,z,True,0.3563946000067517,False
testing,circle,m,True,0.348504800000228,True
testing,square,z,True,0.3035520000848919,False
testing,circle,m,True,0.7893996000057086,False
testing,square,z,True,0.38729179999791086,True
testing,circle,m,True,0.4626915999688208,True
testing,circle,m,True,0.3742925999686122,True
testing,square,z,True,0.39107820007484406,False
testing,square,z,True,0.49746409989893436,True
testing,circle,m,True,0.37227410008199513,True
testing,circle,m,True,0.4678352000191808,False
testing,square,z,True,0.3412328000413254,True
testing,square,z,True,0.3612977999728173,True
testing,square,z,True,0.45128809998277575,True
testing,square,z,True,0.4022221000632271,False
testing,square,z,True,0.4658065000548959,False
testing,circle,m,True,0.34698120004031807,True
testing,circle,m,True,0.3809714999515563,True
testing,circle,m,True,0.3379700999939814,False
testing,circle,m,True,0.446942999958992,False
testing,circle,m,True,0.4275922999950126,False
testing,circle,m,True,0.34861810004804283,False
testing,circle,m,True,0.32396140007767826,False
testing,circle,m,True,0.32352500001434237,False
testing,square,z,True,0.3674237000523135,False
testing,circle,m,True,0.32719770004041493,True
testing,square,z,True,0.36328009993303567,False
testing,circle,m,True,0.36273540009278804,False
testing,circle,m,True,0.36596710002049804,False
testing,square,z,True,0.34698340005706996,False
testing,circle,m,True,0.3553623999468982,True
testing,circle,m,True,0.447181599913165,False
testing,square,z,True,0.48142129997722805,True
testing,square,z,True,0.48317580006551,True
testing,circle,m,True,0.44553659996017814,False
testing,square,z,True,0.38485510007012635,True
testing,circle,m,True,0.3050730999093503,True
testing,circle,m,True,0.54181810002774,False
testing,square,z,True,0.28240310004912317,True
testing,circle,m,True,0.4001250999281183,False
testing,circle,m,True,0.3826573999831453,True
testing,square,z,False,0.3322614999487996,True
testing,circle,m,True,0.48704750009346753,False
testing,circle,m,True,0.41586399998050183,True
testing,square,z,True,0.3779516000067815,False
testing,square,z,True,0.36333530000410974,False
testing,square,z,True,0.4752802000148222,True
testing,square,z,True,0.610824599978514,False
testing,square,z,True,0.38635919999796897,True
testing,circle,m,True,0.4276887000305578,False
testing,circle,m,True,0.40509590005967766,True
testing,square,z,True,0.48619909991975874,False
testing,square,z,True,0.26050949993077666,True
testing,circle,m,True,0.451905700028874,True
testing,square,z,True,0.43169370002578944,False
testing,circle,m,True,0.321339700021781,True
testing,circle,m,True,0.5353576999623328,True
testing,circle,m,True,0.37600630009546876,True
testing,circle,m,True,0.39934520004317164,True
testing,square,z,True,0.3726642000256106,False
testing,square,z,True,0.3928075999720022,False
testing,square,z,True,0.32264619995839894,True
testing,circle,m,False,0.41361990000586957,True
testing,circle,m,True,0.38403549999929965,False
testing,circle,m,True,0.4039345000637695,False
testing,square,z,True,0.28305579989682883,False
testing,square,z,True,0.5045729000121355,True
testing,square,z,True,0.405413500033319,True
testing,square,z,True,0.3384927000151947,False
testing,circle,m,False,0.32940000004600734,False
testing,circle,m,True,0.408750900067389,True
testing,square,z,True,0.41829050006344914,False
testing,circle,m,True,0.48201749997679144,False
testing,circle,m,True,0.3976959000574425,False
testing,square,z,True,0.32727179990615696,True
